artist,genre,festivals
Bela Fleck and Abigail Washburn,Bluegrass,"[u'New Orleans Jazz & Heritage Fes', u'Bonnaroo']"
Belle & Sebastian,Indie,"[u'Coachella', u'Free Press Summer Festival', u'Bonnaroo']"
Belles and Whistles,Country,[u'Kicker Country Stampede']
Ben Folds & Ymusic,Indie,[u'Bonnaroo']
Ben Harper & The Innocent Criminals,Rock,"[u'Wakarusa', u'Free Press Summer Festival', u'Bonnaroo', u'Outside Lands']"
Ben Klock,EDM,[u'Coachella']
Ben Kweller,Indie,"[u'Middle of the Map', u'Free Press Summer Festival']"
Ben Miller Band,Americana,"[u'Stagecoach', u'Wakarusa']"
Benjamin Booker,Rock,"[u'Coachella', u'Sasquatch!', u'Governors Ball', u'Free Press Summer Festival', u'Bonnaroo', u'Firefly', u'Outside Lands']"
Betty Who,Pop,[u'Firefly']
Between The Buried & Me,Metal,[u'Bonnaroo']
Big Chief Monk Boudreaux & The Golden Eagles,Reggae,[u'New Orleans Jazz & Heritage Fes']
Big Chief Walter Cook & The Creole Wild West Mardi Gras Indians,Americana,[u'New Orleans Jazz & Heritage Fes']
Big Data,EDM,"[u'SweetWater 420', u'Firefly']"
"Big Freedia ""Queen of Bounce""",EDM,[u'New Orleans Jazz & Heritage Fes']
Big Gigantic,EDM,"[u'Wakarusa', u'Governors Ball', u'Electric Forest']"
Big K.R.I.T.,Hip-hop,[u'Forecastle']
Big Sam's Funky Nation,R&B,[u'New Orleans Jazz & Heritage Fes']
Big Sean,Hip-hop,[u'Rock in Rio USA - Pop Weekend']
Big Smo,Country,[u'Summerfest']
Bilal,R&B,[u'Essence']
Bill Frisell,Jazz,[u'Newport Jazz']
Billy Beale — Kansas City Blues Preservationist,Rock,[u'Middle of the Map']
Billy Childs,Jazz,[u'Newport Jazz']
Billy Currington,Country,[u'Summerfest']
Billy Idol,Rock,[u'Outside Lands']
Billy Joel,Rock,[u'Bonnaroo']
Bishop Nehru,Hip-hop,"[u'Sasquatch!', u'Governors Ball']"
Bitchin Bajas,Indie,[u'Pitchfork']
Bixel Boys,EDM,"[u'Coachella', u'Counterpoint']"
Bjork,Indie,[u'Governors Ball']
Black Pistol Fire,Rock,"[u'Sasquatch!', u'Lollapalooza']"
Black Tiger Sex Machine,EDM,"[u'Wakarusa', u'Electric Forest', u'Lollapalooza']"
Black Tora,Metal,[u'Rocklahoma']
Black Whales,Rock,[u'Sasquatch!']
Blackberry Smoke,Rock,[u'Summerfest']
Blackjack Billy,Rock,[u'Kicker Country Stampede']
Blaine Younger,Country,[u'Kicker Country Stampede']
Blake Mills,Indie,[u'Newport Folk']
Blake Shelton,Country,"[u'Stagecoach', u'Kicker Country Stampede']"
Blank Range,Rock,[u'Sasquatch!']
Bleachers,Indie,"[u'Rock in Rio USA - Rock Weekend', u'Bunbury', u'Bonnaroo']"
Blind Boys of Alabama,Gospel,[u'Summerfest']
Bo Ningen,Rock,[u'SunFest']
Boan,Indie,[u'Free Press Summer Festival']
Bob Moses,EDM,[u'Lightning in a Bottle']
BoomBox,Rock,[u'Wakarusa']
Borgeous,EDM,[u'Electric Forest']
Borgore,EDM,[u'Spring Awakening']
Bossacucanova,Latin,[u'Rock in Rio USA - Pop Weekend']
Boys Noize,EDM,[u'Lollapalooza']
Brad Paisley,Country,[u'CMA Fest']
Brady Moddelmog Band,Country,[u'Kicker Country Stampede']
Branchez,EDM,[u'Spring Awakening']
Brand New,Rock,"[u'Coachella', u'Bunbury', u'Summerfest', u'Lollapalooza']"
Brandi Carlile,Rock,"[u'Free Press Summer Festival', u'Bonnaroo', u'Newport Folk']"
