artist,genre,festivals
Futurebirds,Indie,"[u'Counterpoint', u'Free Press Summer Festival']"
Fuzz,Rock,[u'Sasquatch!']
G Jones,EDM,[u'Lightning in a Bottle']
G-Easy,Hip-hop,"[u'Free Press Summer Festival', u'Electric Forest', u'Lollapalooza']"
G-Eazy,Hip-hop,"[u'Bonnaroo', u'Outside Lands']"
GIVERS,Indie,"[u'Wakarusa', u'Lollapalooza', u'Outside Lands']"
GRiZ,EDM,"[u'Hangout', u'Lightning in a Bottle']"
GTA,Pop,[u'Free Press Summer Festival']
Gabriel Garzon-Montano,EDM,[u'Lollapalooza']
Gaelic Storm,World,[u'Summerfest']
Galactic,R&B,[u'Counterpoint']
Galactic ft. Macy Gray,R&B,[u'New Orleans Jazz & Heritage Fes']
Galactic with Macy Gray,R&B,"[u'Hangout', u'Wakarusa', u'Electric Forest']"
Galantis,EDM,[u'Lollapalooza']
Gary Clark Jr.,Rock,"[u'Rock in Rio USA - Rock Weekend', u'Free Press Summer Festival', u'Bonnaroo', u'Firefly', u'Summerfest', u'Lollapalooza']"
Gaslamp Killer,Hip-hop,[u'Rock in Rio USA - Rock Weekend']
Gates,Rock,[u'Middle of the Map']
Generationals,Indie,[u'Firefly']
Genevieve,Pop,[u'Bunbury']
George Ezra,Pop,"[u'Coachella', u'Lollapalooza', u'Outside Lands']"
George Thorogood and the Destroyers,Rock,[u'Stagecoach']
George West,EDM,[u'Free Press Summer Festival']
Gerald Clayton,Jazz,[u'Newport Jazz']
Gesaffelstein,EDM,[u'Coachella']
Ghastly Menace,Indie,[u'Middle of the Map']
Ghost Owl,Rock,[u'Wakarusa']
GiBBZ,EDM,[u'Electric Forest']
Gigantic Underground Conspiracy,EDM,[u'Wakarusa']
Gio Chamba,EDM,[u'Free Press Summer Festival']
Giraffage,EDM,[u'Outside Lands']
Gladkill,EDM,"[u'Lightning in a Bottle', u'Wakarusa']"
Glass Animals,Indie,"[u'Coachella', u'Sasquatch!', u'Wakarusa', u'Free Press Summer Festival', u'Bonnaroo', u'Firefly', u'Lollapalooza', u'Outside Lands']"
Glen David Andrews,R&B,[u'New Orleans Jazz & Heritage Fes']
Go Analog,Indie,[u'Bunbury']
Goapele,R&B,[u'Essence']
Goatwhore,Metal,[u'Free Press Summer Festival']
Godsmack,Metal,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Gogol Bordello,Indie,"[u'Sasquatch!', u'Summerfest', u'Lollapalooza']"
GoldLink,Hip-hop,[u'Electric Forest']
Goldfish,EDM,"[u'Counterpoint', u'Wakarusa', u'Electric Forest']"
Goldroom,Pop,"[u'Hangout', u'Lightning in a Bottle', u'Wakarusa', u'Electric Forest']"
Good Time Charley,Americana,[u'Middle of the Map']
Gorgon City,EDM,"[u'Coachella', u'Counterpoint', u'Governors Ball']"
Goshfather & Jinco,EDM,[u'Firefly']
Gov't Mule,Rock,[u'SweetWater 420']
Govinda,EDM,"[u'Lightning in a Bottle', u'Wakarusa']"
Graceful Closure,Rock,[u'Bunbury']
Gracie Schram,Indie,[u'Middle of the Map']
Gramatik,EDM,"[u'Coachella', u'Hangout', u'Bonnaroo', u'Electric Forest']"
Grandtheft,EDM,[u'Spring Awakening']
Gravity A,Rock,[u'Wakarusa']
Green Velvet,EDM,[u'Electric Forest']
Green Velvet & Claude VonStroke,EDM,[u'Outside Lands']
Greenhouse Lounge,EDM,[u'Wakarusa']
Gregg Allman,Rock,[u'Stagecoach']
Gregory Alan Isakov,Indie,[u'Bonnaroo']
Grizfolk,Rock,"[u'Hangout', u'Free Press Summer Festival', u'Firefly']"
Grynch,Hip-hop,[u'Sasquatch!']
Guilla,Hip-hop,[u'Free Press Summer Festival']
Gurrumul,World,[u'New Orleans Jazz & Heritage Fes']
Guster,Rock,[u'Bonnaroo']
Guy Gerber,EDM,[u'Coachella']
HONEYHONEY,Americana,[u'Wakarusa']
Haerts,Indie,[u'Coachella']
Halestorm,Rock,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma', u'Summerfest']"
Halsey,Pop,"[u'Hangout', u'Firefly', u'Lollapalooza']"
Hardwell,EDM,[u'Spring Awakening']
Hatebreed,Metal,"[u'Welcome to Rockville', u'Rock on the Range']"
Haunt The House,Americana,[u'Newport Folk']
Haywyre,Jazz,"[u'Counterpoint', u'Electric Forest']"
Headhunterz,EDM,[u'Spring Awakening']
Heartfelt Anarchy,Hip-hop,[u'Middle of the Map']
Heartless Bastards,Rock,[u'Newport Folk']
Hearts of Darkness,Hip-hop,[u'Wakarusa']
Heavy Pets,Rock,[u'Counterpoint']
Heidi Lawden,EDM,[u'Rock in Rio USA - Pop Weekend']
Hembree,Indie,"[u'Middle of the Map', u'Wakarusa']"
Henry + The Invisibles,R&B,[u'Wakarusa']
Herlin Riley,Jazz,[u'Newport Jazz']
Hermitude,EDM,"[u'Lightning in a Bottle', u'Counterpoint', u'Wakarusa', u'Governors Ball', u'Lollapalooza']"
Hey Rosetta!,Indie,[u'Firefly']
Highly Suspect,Rock,[u'Rock on the Range']
Hippo Campus,Indie,[u'Lollapalooza']
Hiram,Metal,[u'Free Press Summer Festival']
Hiromi: The Trio Project,Jazz,[u'Newport Jazz']
Hiss Golden Messenger,Indie,"[u'Sasquatch!', u'Bonnaroo']"
Hollywood Undead,Rock,"[u'Welcome to Rockville', u'Rock in Rio USA - Rock Weekend', u'Rock on the Range']"
Holychild,Pop,"[u'Governors Ball', u'Lollapalooza']"
Honey Island Swamp Band,Americana,[u'New Orleans Jazz & Heritage Fes']
Hot Chip,EDM,"[u'Sasquatch!', u'Governors Ball', u'Lollapalooza', u'Outside Lands']"
Hot Natured,EDM,[u'Coachella']
Hot Rize,Bluegrass,[u'Stagecoach']
Houndmouth,Indie,"[u'Hangout', u'Free Press Summer Festival', u'Bonnaroo', u'Forecastle']"
How To Dress Well,Indie,"[u'Firefly', u'Pitchfork']"
Hozier,Pop,"[u'Coachella', u'New Orleans Jazz & Heritage Fes', u'SunFest', u'Bonnaroo', u'Firefly']"
Hucci,EDM,[u'Spring Awakening']
Hundred Waters,Indie,[u'SunFest']
Hunter Leggitt,EDM,[u'Lightning in a Bottle']
Hurley Christin,Pop,[u'Middle of the Map']
Hurray For The Riff Raff,Americana,"[u'Bonnaroo', u'Outside Lands']"
ILoveMakonnen,Hip-hop,"[u'Counterpoint', u'Free Press Summer Festival', u'Pitchfork', u'Forecastle']"
Iceage,Indie,"[u'Free Press Summer Festival', u'Bonnaroo', u'Pitchfork']"
Ilan Bluestone,EDM,[u'Spring Awakening']
Illenium,EDM,[u'Electric Forest']
Illphonics,Hip-hop,[u'Middle of the Map']
In Flames,Metal,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
In This Moment,Metal,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
In the Whale,Rock,[u'Lollapalooza']
India.Arie,R&B,[u'Essence']
Indigo Wild,Indie,[u'Bunbury']
Intergalactix,Indie,[u'Firefly']
Interpol,Indie,[u'Coachella']
Iration,Reggae,"[u'SunFest', u'Hangout', u'Outside Lands']"
Irma Thomas,R&B,[u'New Orleans Jazz & Heritage Fes']
Iron & Wine,Indie,[u'Middle of the Map']
Ironing Board Sam,Blues,[u'New Orleans Jazz & Heritage Fes']
Irvin Mayfield & The New Orleans Jazz Orchestra,Jazz,"[u'New Orleans Jazz & Heritage Fes', u'Newport Jazz']"
Isaiah Martin,EDM,[u'Lightning in a Bottle']
Islander,Metal,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Ivan Neville's Dumpstaphunk,R&B,"[u'New Orleans Jazz & Heritage Fes', u'Essence']"
Ivete Sangalo,Latin,[u'Rock in Rio USA - Pop Weekend']
Ivy Stone,Rock,[u'Rocklahoma']
J Mascis,Indie,[u'Newport Folk']
J. Roddy Walston & The Business,Rock,"[u'Hangout', u'Governors Ball', u'Summerfest']"
J.E.S.&S.,EDM,[u'Coachella']
JEFF The Brotherhood,Indie,"[u'Hangout', u'Forecastle']"
Jack DeJohnette's Made in Chicago with Henry Threadgill and Muhal Richard Abrams,Jazz,[u'Newport Jazz']
Jack Novak,EDM,"[u'Firefly', u'Lollapalooza']"
Jack U,EDM,[u'Spring Awakening']
Jack White,Rock,[u'Coachella']
JackLNDN,EDM,"[u'Lightning in a Bottle', u'Wakarusa', u'Electric Forest', u'Lollapalooza']"
Jackson Gulick,Country,[u'Kicker Country Stampede']
Jaga Jazzist,Jazz,[u'Electric Forest']
Jake E. Lee's Red Dragon Cartel,Rock,[u'Rocklahoma']
Jake Gill,Country,[u'Kicker Country Stampede']
Jake Owen,Country,"[u'Tortuga', u'Stagecoach']"
Jakubi,Pop,"[u'Wakarusa', u'Electric Forest']"
James Bay,Indie,"[u'Rock in Rio USA - Pop Weekend', u'Lollapalooza', u'Outside Lands']"
James Blake,EDM,[u'Sasquatch!']
James Carter,Jazz,[u'Newport Jazz']
Jamestown Revival,Americana,"[u'Coachella', u'Wakarusa', u'Bunbury', u'Lollapalooza']"
Jamie Cullum,Jazz,[u'Newport Jazz']
Jamie Jones,EDM,[u'Spring Awakening']
Jamie XX,EDM,"[u'Coachella', u'Bonnaroo', u'Pitchfork']"
Jane's Addiction,Rock,[u'Summerfest']
Janover & reSunator,EDM,[u'Wakarusa']
Jared Daniels Band,Country,[u'Kicker Country Stampede']
Jason Aldean,Country,[u'CMA Fest']
Jason Beers,Americana,[u'Middle of the Map']
Jason Bentley,EDM,"[u'Coachella', u'Lightning in a Bottle']"
Jason Eady,Country,[u'Stagecoach']
Jason Lindner,Jazz,[u'Newport Jazz']
Jauz,EDM,[u'Counterpoint']
Jayceeoh,EDM,[u'Firefly']
Jeff Bradshaw,R&B,[u'Essence']
Jeniluv,EDM,[u'Rock in Rio USA - Pop Weekend']
Jenny Lewis,Indie,"[u'Coachella', u'Hangout', u'Sasquatch!']"
Jerrod Niemann,Country,"[u'Stagecoach', u'Kicker Country Stampede']"
Jerry Douglas Presents Earls of Leicester,Bluegrass,[u'Bonnaroo']
Jerry Lee Lewis,Rock,[u'New Orleans Jazz & Heritage Fes']
Jesse Wright,EDM,[u'Lightning in a Bottle']
Jessica Hernandez & the Deltas,Indie,"[u'Bunbury', u'Bonnaroo', u'Lollapalooza']"
Jessica Pratt,Americana,[u'Pitchfork']
Jessie J,Pop,[u'Rock in Rio USA - Pop Weekend']
Jessika Nickel,Country,[u'Kicker Country Stampede']
Jewel Brown with Gregg Stafford's Jazz Hounds,Jazz,[u'New Orleans Jazz & Heritage Fes']
Jimmie Vaughan & Tilt A Whirl Band,Blues,[u'New Orleans Jazz & Heritage Fes']
Jimmy Buffett and the Coral Reefer Band,Pop,[u'New Orleans Jazz & Heritage Fes']
Jimmy Cliff,Reggae,[u'New Orleans Jazz & Heritage Fes']
Jimmy Whispers,Indie,[u'Pitchfork']
Joe Pug,Americana,[u'Firefly']
Joe Russo's Almost Dead,Rock,"[u'Counterpoint', u'Wakarusa', u'Electric Forest']"
Joey Alexander,Jazz,[u'Newport Jazz']
Joey Bada$$,Hip-hop,[u'Hangout']
John & Jacob,Country,[u'Stagecoach']
John Cafferty & The Beaver Brown Band,Rock,[u'SunFest']
John Digweed,EDM,"[u'Lightning in a Bottle', u'Electric Forest']"
John Hollenbeck,Jazz,[u'Newport Jazz']
John Legend,R&B,"[u'New Orleans Jazz & Heritage Fes', u'Rock in Rio USA - Pop Weekend']"
John Moreland,Americana,[u'Stagecoach']
John P. Kee and New Life,Gospel,[u'New Orleans Jazz & Heritage Fes']
John Talabot,EDM,[u'Coachella']
Johnathan Blake,Jazz,[u'Newport Jazz']
Johnny Stimson,Pop,[u'Wakarusa']
Johnnyswim,Americana,[u'SunFest']
Jon Batiste and Stay Human,R&B,[u'Newport Jazz']
Jon Bellion,Hip-hop,[u'Firefly']
Jon Cleary and The Absolute Monster Gentlemen,R&B,"[u'New Orleans Jazz & Heritage Fes', u'Bonnaroo']"
Jon Faddis,Jazz,[u'Newport Jazz']
Jon Hopkins,EDM,[u'Coachella']
Jorge Arana Trio,Rock,[u'Middle of the Map']
Jose Gonzalez,Indie,[u'Sasquatch!']
Joseph,Pop,[u'Electric Forest']
Josh Berwanger Band,Rock,[u'Middle of the Map']
Josh Turner,Country,[u'Tortuga']
Joss Stone,R&B,[u'Rock in Rio USA - Pop Weekend']
José James,R&B,[u'Newport Jazz']
Joyce Manor,Rock,[u'Coachella']
Joywave,Indie,[u'Hangout']
Judah & The Lion,Americana,"[u'Tortuga', u'Wakarusa']"
Judas Priest,Metal,[u'Rock on the Range']
Jungle,R&B,"[u'Coachella', u'Sasquatch!', u'Firefly']"
Justin Martin,EDM,[u'Spring Awakening']
Justin Moore,Country,[u'Stagecoach']
Juvenile & Mannie Fresh Together,Hip-hop,[u'New Orleans Jazz & Heritage Fes']
KEM,R&B,[u'Essence']
KMLN,EDM,[u'Lightning in a Bottle']
KOA,Rock,[u'Wakarusa']
Kacey Musgraves,Country,"[u'Stagecoach', u'New Orleans Jazz & Heritage Fes', u'Bunbury']"
Kangaroo Knife Fight,Indie,[u'Middle of the Map']
Kansas,Rock,[u'Summerfest']
Kap Slap,EDM,[u'Wakarusa']
Karl Denson's Tiny Universe,Jazz,[u'Outside Lands']
Kasabian,Rock,[u'Coachella']
Kasey Rausch w/ Chad Brothers,Americana,[u'Middle of the Map']
Kaskade,EDM,"[u'Coachella', u'SunFest', u'Summerfest', u'Electric Forest', u'Lollapalooza']"
Kate Tempest,Hip-hop,"[u'Sasquatch!', u'Governors Ball']"
Katy Guillen & The Girls,Rock,[u'Middle of the Map']
Kawehi,Pop,[u'Wakarusa']
Kaytranada,EDM,"[u'Coachella', u'Governors Ball']"
Kehlani,R&B,[u'SunFest']
Keith Anderson,Country,[u'Stagecoach']
Keith Urban,Country,"[u'New Orleans Jazz & Heritage Fes', u'CMA Fest', u'Summerfest']"
Kele,Indie,[u'Coachella']
Keller Williams,Rock,[u'Summerfest']
Kellie Pickler,Country,[u'Summerfest']
Kelly Price,R&B,[u'Essence']
Kendrick Lamar,Hip-hop,"[u'Sasquatch!', u'Bonnaroo', u'Summerfest', u'Essence', u'Outside Lands']"
Kenny Chesney,Country,[u'Tortuga']
Kenny Garrett,Jazz,"[u'New Orleans Jazz & Heritage Fes', u'Newport Jazz']"
Kenny Wayne Shepherd,Rock,[u'Summerfest']
Kermit Ruffins & The BBQ Swingers,Jazz,[u'New Orleans Jazz & Heritage Fes']
Keys N Krates,EDM,"[u'Coachella', u'Spring Awakening']"
Kid Cudi,Hip-hop,"[u'Firefly', u'Lollapalooza']"
Kid Runner,Pop,[u'Bunbury']
Kiesza,EDM,"[u'Coachella', u'Sasquatch!', u'Governors Ball', u'Forecastle']"
Kife Party,EDM,[u'Counterpoint']
Kill Them With Colour,EDM,[u'Firefly']
Kimbra,Indie,[u'Coachella']
Kindred The Family Soul,R&B,[u'Essence']
King Gizzard and the Lizard Wizard,Indie,[u'Bonnaroo']
King Tuff,Indie,"[u'Sasquatch!', u'Forecastle']"
Kingdragon,Metal,[u'Rocklahoma']
Kings of Leon,Rock,"[u'Firefly', u'Summerfest']"
Kingsize,Rock,[u'Firefly']
Kinski,Rock,[u'Sasquatch!']
Kip Moore,Country,"[u'Stagecoach', u'Summerfest']"
Kneebody,Jazz,[u'Newport Jazz']
Knox Hamilton,Indie,"[u'Middle of the Map', u'SunFest', u'Hangout', u'Firefly', u'Forecastle']"
Koan Sound,EDM,"[u'Lightning in a Bottle', u'Electric Forest']"
Kongos,Rock,[u'Summerfest']
Kool Moe Dee,Hip-hop,[u'Essence']
Kopecky,Indie,"[u'Hangout', u'Wakarusa']"
Korn,Rock,[u'Welcome to Rockville']
Krewella,EDM,[u'Hangout']
Kristian Bush of Sugarland,Country,[u'Summerfest']
Krooked Drivers,Hip-hop,[u'Wakarusa']
Kurt Vile And The Violators,Indie,[u'Pitchfork']
Kygo,EDM,"[u'Coachella', u'Counterpoint', u'Firefly', u'Lollapalooza']"
Kyle Hollingsworth Band,Rock,[u'SweetWater 420']
Kyle Thornton & the Company,R&B,[u'Lollapalooza']
LE1F,Hip-hop,[u'Firefly']
La Guerre,Indie,[u'Middle of the Map']
La Santa Cecilia,Latin,[u'New Orleans Jazz & Heritage Fes']
Lady Antebellum,Country,[u'CMA Fest']
Lafa Taylor,EDM,[u'Electric Forest']
Lagbaja,World,[u'New Orleans Jazz & Heritage Fes']
Lake Street Dive,Indie,"[u'Hangout', u'Outside Lands']"
Lamp Shade Betty,Rock,[u'Rocklahoma']
Lana Del Rey,Indie,"[u'Sasquatch!', u'Governors Ball']"
Lane 8,EDM,[u'Spring Awakening']
Langhorne Slim & The Law,Americana,"[u'Newport Folk', u'Outside Lands']"
Lapa,EDM,[u'Lightning in a Bottle']
Lara Wisdom,Country,[u'Kicker Country Stampede']
Late Night Radio,Hip-hop,[u'Wakarusa']
Laura Lisbeth,Country,[u'Kicker Country Stampede']
Laura Marling,Americana,"[u'Newport Folk', u'Outside Lands']"
Lauren Anderson Band,Rock,[u'Middle of the Map']
Lecrae,Hip-hop,"[u'Free Press Summer Festival', u'Summerfest']"
Lee Bains III & The Glory Fires,Rock,[u'Middle of the Map']
Lee Curtiss,EDM,[u'Lightning in a Bottle']
Leftover Salmon,Rock,[u'Summerfest']
Lenny Kravitz,Rock,[u'SunFest']
Leo Gandelman,Jazz,[u'Rock in Rio USA - Rock Weekend']
Leon Bridges,R&B,"[u'Middle of the Map', u'Newport Folk', u'Outside Lands']"
Les Sins,Indie,[u'Lightning in a Bottle']
Letts,Indie,[u'SunFest']
Lettuce,R&B,"[u'Counterpoint', u'Firefly', u'Electric Forest']"
Life On Planets,Indie,[u'Electric Forest']
Lights,Pop,[u'Coachella']
Like a Storm,Rock,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Lil 'Ed And The Blues Imperials,Blues,[u'New Orleans Jazz & Heritage Fes']
Lil B,Hip-hop,[u'Coachella']
Lil Dicky,Hip-hop,[u'Bunbury']
Lily Nelsen,Country,[u'Kicker Country Stampede']
Lindi Ortega,Americana,[u'Stagecoach']
Lindsay Lou & the Flatbellys,Americana,[u'Stagecoach']
Lindsay Lowend,EDM,"[u'Lightning in a Bottle', u'Wakarusa']"
Lindsey Stirling,Indie,"[u'SunFest', u'Bunbury', u'Summerfest', u'Electric Forest', u'Outside Lands']"
Linkin Park,Rock,"[u'Rock in Rio USA - Rock Weekend', u'Rock on the Range', u'Rocklahoma', u'Summerfest']"
Linus Young,Indie,[u'Firefly']
Lion Babe,R&B,[u'Lollapalooza']
Lisa Fischer,R&B,[u'Newport Jazz']
Little Big Town,Country,"[u'Tortuga', u'CMA Fest']"
Little Dragon,EDM,"[u'Sasquatch!', u'Governors Ball']"
Little People,EDM,"[u'Lightning in a Bottle', u'Electric Forest']"
Live,Rock,[u'Rock on the Range']
Lizzo,Hip-hop,"[u'SunFest', u'Sasquatch!', u'Firefly']"
Locash,Country,[u'Kicker Country Stampede']
Loco Dice,EDM,[u'Coachella']
Logan Brill,Americana,[u'Stagecoach']
Logan Mize,Country,[u'Stagecoach']
Logic,Hip-hop,"[u'Governors Ball', u'Firefly', u'Lollapalooza']"
Lola Black,Metal,[u'Rocklahoma']
Loma Prieta,Rock,[u'Middle of the Map']
London's Dungeon,Rock,[u'Rocklahoma']
Lonesome As Gold,Rock,[u'Bunbury']
Lord Huron,Indie,"[u'Middle of the Map', u'Lollapalooza']"
Los Rakas,Hip-hop,[u'Coachella']
Lotus,EDM,"[u'Wakarusa', u'Electric Forest']"
Lou Donaldson,Jazz,[u'Newport Jazz']
Love And Theft,Country,[u'Kicker Country Stampede']
Lovebettie,Rock,[u'Rocklahoma']
Loveblast,Rock,[u'Rocklahoma']
Lucas Maddy & the Jagged Edge,Country,[u'Kicker Country Stampede']
Lucent Dossier Experience,EDM,[u'Lightning in a Bottle']
Lucky Peterson,R&B,[u'Newport Jazz']
Luke Amelang,Americana,[u'Stagecoach']
Luke Bryan,Country,[u'CMA Fest']
Luke James,R&B,[u'New Orleans Jazz & Heritage Fes']
Lunice,EDM,[u'Counterpoint']
Lupe Fiasco,Hip-hop,"[u'Hangout', u'Summerfest']"
Lydia Loveless,Americana,[u'Stagecoach']
Lykke Li,Indie,[u'Coachella']
Lynam,Rock,[u'Rocklahoma']
MAKO,EDM,"[u'Electric Forest', u'Lollapalooza']"
METZ,Rock,[u'Outside Lands']
MJ Cole,EDM,[u'Electric Forest']
MK,EDM,"[u'Coachella', u'Spring Awakening']"
MMEA All-State Jazz Band,Jazz,[u'Newport Jazz']
MS MR,Indie,[u'Lollapalooza']
MVTH,Rock,[u'Rock in Rio USA - Rock Weekend']
Mac Davis,Country,[u'Stagecoach']
Mac DeMarco,Indie,"[u'Coachella', u'Bonnaroo', u'Pitchfork', u'Outside Lands']"
Mach22,Rock,[u'Rocklahoma']
Machineheart,Rock,[u'Bunbury']
Maddie & Tae,Country,"[u'Tortuga', u'Stagecoach']"
Made in Heights,EDM,"[u'Lightning in a Bottle', u'Electric Forest']"
Madeon,EDM,[u'Coachella']
Madisen Ward & The Mama Bear,Americana,"[u'Middle of the Map', u'Bonnaroo', u'Newport Folk']"
Madlib & Freddie Gibbs,Hip-hop,[u'Pitchfork']
Magic Man,Rock,[u'Middle of the Map']
Magic!,Reggae,"[u'Rock in Rio USA - Pop Weekend', u'Summerfest']"
Major Lazer,EDM,"[u'Hangout', u'Wakarusa', u'Free Press Summer Festival']"
Mali Music,R&B,[u'Essence']
Mana,Rock,[u'Rock in Rio USA - Rock Weekend']
Manatee Commune,EDM,[u'Sasquatch!']
Manchester Orchestra,Indie,"[u'Firefly', u'Summerfest']"
Mancheter Orchestra,Indie,[u'Bunbury']
Manic Focus,EDM,[u'Counterpoint']
Manila Killa,EDM,[u'Firefly']
Mano Le Tough,EDM,[u'Lightning in a Bottle']
Maps for Travelers,Rock,[u'Middle of the Map']
Marc Broussard,R&B,[u'SweetWater 420']
March Fourth Marching Band,Rock,[u'SweetWater 420']
MarchFourth!,World,[u'Wakarusa']
Marcia Ball,Blues,[u'New Orleans Jazz & Heritage Fes']
Marcos Valle,Latin,[u'Rock in Rio USA - Pop Weekend']
Maria Schneider Orchestra,Jazz,[u'Newport Jazz']
Marian Hill,Pop,[u'Firefly']
Marilyn Manson,Rock,"[u'Welcome to Rockville', u'Rock on the Range']"
Marina and the Diamonds,Indie,"[u'Coachella', u'Governors Ball', u'Lollapalooza']"
Markham,Rock,[u'Bunbury']
Marmozets,Rock,[u'Rock on the Range']
Marques Wyatt,EDM,[u'Coachella']
Martin Garrix,EDM,[u'Spring Awakening']
Martin Solveig,EDM,[u'Coachella']
Martina McBride,Country,[u'Summerfest']
MartyParty,EDM,[u'Electric Forest']
Mary J. Blige,R&B,[u'Essence']
Mary Lambert,R&B,[u'Hangout']
Mastodon,Metal,[u'Free Press Summer Festival']
Mat Kearney,Rock,[u'Summerfest']
Matana Roberts,Jazz,[u'Newport Jazz']
Mates of State,Indie,[u'Summerfest']
Matisyahu,Indie,"[u'SunFest', u'Wakarusa']"
Matoma,Pop,"[u'Firefly', u'Electric Forest']"
Matt & Kim,Indie,"[u'Bunbury', u'Firefly']"
Matthew Curry,Rock,[u'Wakarusa']
Matthew Koma,EDM,[u'Coachella']
Mavis Staples,R&B,[u'Summerfest']
Max Frost,Indie,[u'Firefly']
Max Justus,EDM,[u'Middle of the Map']
Mayer Hawthorne,R&B,[u'Governors Ball']
Maze,R&B,[u'New Orleans Jazz & Heritage Fes']
McKenzie JaLynn & the Renegades,Country,[u'Kicker Country Stampede']
Me Like Bees,Indie,[u'Middle of the Map']
"Medeski, Scofield, Martin & Wood",Jazz,[u'Bonnaroo']
Meg Myers,Rock,[u'Summerfest']
Merchandise,Indie,[u'Sasquatch!']
Merle Haggard,Country,[u'Stagecoach']
Metallica,Metal,"[u'Rock in Rio USA - Rock Weekend', u'Lollapalooza']"
Miami Horror,EDM,[u'Electric Forest']
Michal Menert,EDM,[u'Counterpoint']
Michel Camilo/Hiromi Piano Duets,Jazz,[u'Newport Jazz']
Mick Jenkins,Hip-hop,[u'Lollapalooza']
Mickey Avalon,Hip-hop,[u'Middle of the Map']
Mickey Gilley in the Honky Tonk,Country,[u'Stagecoach']
Midnight Magic,Indie,[u'Electric Forest']
Mighty Oaks,Indie,[u'Lollapalooza']
Mija,EDM,"[u'Middle of the Map', u'Spring Awakening']"
Mike Stern/Bill Evans,Jazz,[u'Newport Jazz']
Mikey Lion,EDM,[u'Lightning in a Bottle']
Mikky Ekko,Indie,"[u'Rock in Rio USA - Pop Weekend', u'Bunbury']"
Milky Chance,Indie,"[u'Coachella', u'SunFest', u'Sasquatch!', u'Outside Lands']"
Milo Greene,Indie,"[u'Sasquatch!', u'Firefly', u'Forecastle']"
Mini Mansions,Indie,[u'Bunbury']
Ministry,Rock,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Minnesota,EDM,"[u'Counterpoint', u'Wakarusa', u'Electric Forest']"
Miranda Lambert,Country,[u'Stagecoach']
Missy Elliott,Hip-hop,[u'Essence']
Mista Cookie Jar & the Chocolate Chips,Pop,[u'Lollapalooza']
MisterWives,Indie,"[u'Hangout', u'Summerfest', u'Lollapalooza', u'Outside Lands']"
Modest Mouse,Indie,"[u'Sasquatch!', u'Firefly', u'Forecastle']"
Moe.,Rock,[u'SweetWater 420']
Moji,Rock,[u'Free Press Summer Festival']
Monty Alexander: Harlem-Kingston Express,Jazz,[u'New Orleans Jazz & Heritage Fes']
Moody Good,Pop,[u'Wakarusa']
Moon Taxi,Indie,"[u'Wakarusa', u'Governors Ball', u'Free Press Summer Festival', u'Bonnaroo', u'Lollapalooza']"
Morgan Page,EDM,[u'Spring Awakening']
Morillo,EDM,[u'Lightning in a Bottle']
Morning Star Missionary Baptist Church Mass Choir,,[u'New Orleans Jazz & Heritage Fes']
Morrissey,Rock,[u'Firefly']
Mortar and Pestle,Pop,[u'Lightning in a Bottle']
Mother Mother,Indie,"[u'Firefly', u'Summerfest']"
Motherfolk,Indie,[u'Bunbury']
Motion City Soundtrack,Rock,[u'Summerfest']
Motion Potion,EDM,[u'Electric Forest']
Motionless in White,Metal,"[u'Welcome to Rockville', u'Rock on the Range', u'Rocklahoma']"
Mountain Sprout,Bluegrass,[u'Wakarusa']
Mourn,Indie,[u'Pitchfork']
Mouth,Rock,[u'Wakarusa']
Mr Twin Sister,Indie,[u'Pitchfork']
"Ms. Ruby Wilson's Tribute to Bessie Smith ft. Brian ""Breeze"" Cayolle",Blues,[u'New Orleans Jazz & Heritage Fes']
Mt. Eden,EDM,"[u'Electric Forest', u'Lollapalooza']"
Multimagic,Indie,[u'Bunbury']
Mumford & Sons,Rock,"[u'Bonnaroo', u'Outside Lands']"
Murder Vibes,Rock,[u'Sasquatch!']
Murder by Death,Indie,[u'Middle of the Map']
My Body Sings Electric,Indie,[u'Middle of the Map']
My Goodness,Rock,[u'Sasquatch!']
My Morning Jacket,Indie,"[u'Hangout', u'Governors Ball', u'Bonnaroo', u'Forecastle']"
My Oh My,Rock,[u'Middle of the Map']
Mycah,Rock,[u'Rocklahoma']
Myon & Shane 54,EDM,[u'Spring Awakening']
Mystery,Rock,[u'Rocklahoma']
Mystikal,Hip-hop,[u'Essence']
MØ,EDM,"[u'Coachella', u'Sasquatch!', u'Governors Ball', u'Bonnaroo']"
Nadus,EDM,"[u'Wakarusa', u'Electric Forest']"
Nahko and Medicine for the People,World,[u'Wakarusa']
Nasty Habit,Rock,[u'Rocklahoma']
Natalie Prass,Indie,"[u'Sasquatch!', u'Pitchfork', u'Outside Lands']"
Nate Ruess,Indie,[u'Outside Lands']
Nattali Rize & Notis,World,"[u'Wakarusa', u'Electric Forest']"
